node_id,label,level,cultural_group,domain,source_dataset,frequency
0,human,0,universal,identity,schema,1
1,food,1,egypt,unknown,arabculture,35
2,glass,3,egypt,unknown,arabculture,1
3,layers of cloth,3,assam,unknown,diwali,1
4,silk or cotton,3,bihar,unknown,diwali,1
5,cotton sarees,2,haryana,unknown,diwali,2
6,rich silk fabric,3,maharashtra,unknown,diwali,1
7,handwoven fabric,3,manipur,unknown,diwali,1
8,stitched fabric,3,manipur,unknown,diwali,1
9,raw cotton,3,meghalaya,unknown,diwali,1
10,hand-woven fabrics,3,meghalaya,unknown,diwali,1
11,luxurious fabrics like silk,3,delhi,unknown,diwali,1
12,felted wool,3,jammu and kashmir,unknown,diwali,1
13,recycled woolen fabrics,3,jammu and kashmir,unknown,diwali,1
14,wool or silk,3,jammu and kashmir,unknown,diwali,1
15,sheep wool,3,ladakh,unknown,diwali,1
16,hand-woven woolen fabric,3,ladakh,unknown,diwali,1
17,yak wool,3,ladakh,unknown,diwali,1
18,assam,1,assam,unknown,diwali,1
19,algeria,1,teacher,unknown,candle,7
20,playing instruments,3,teacher,unknown,candle,1
21,singing,3,teacher,unknown,candle,1
22,teacher,1,teacher,unknown,candle,3
23,how to behave,3,teacher,unknown,candle,1
24,mentor,4,teacher,unknown,candle,1
25,rules established by teachers,3,teacher,unknown,candle,1
26,reviews,5,teacher,unknown,candle,1
27,"teachers, students, parents",3,teacher,unknown,candle,1
