node_id,label,level,cultural_group,domain,source_dataset,frequency
0,human,0,universal,identity,schema,2501
1,food,1,general,food,arabculture,307
2,algerian,2,algerian,food,arabculture,683
3,breakfast as daily sustenance,3,algerian,food,arabculture,1
4,hearty morning meal,4,algerian,food,arabculture,1
5,family breakfast tradition,3,algerian,food,arabculture,2
6,mother prepares special breakfast,4,algerian,food,arabculture,1
7,weekend morning gathering,3,algerian,family,arabculture,1
8,breakfast practice,3,algerian,food,arabculture,1
9,light simple breakfast,4,algerian,food,arabculture,1
10,breakfast preparation tradition,3,algerian,food,arabculture,1
11,baghrir pancakes,4,algerian,food,arabculture,1
12,family meal tradition,3,algerian,food,arabculture,2
13,al-hamis dish,4,algerian,food,arabculture,1
14,mother prepares meal,4,algerian,family,arabculture,1
15,friday lunch tradition,3,algerian,food,arabculture,1
16,nutritious special meal,4,algerian,food,arabculture,1
17,family,1,algerian,family,arabculture,196
18,mother's role in meal preparation,3,algerian,family,arabculture,1
19,mother ensures balanced nutrition,3,algerian,food,arabculture,1
20,complete and satisfying meal preparation,4,algerian,food,arabculture,1
21,lunch tradition,3,algerian,food,arabculture,1
22,couscous algérien,4,algerian,food,arabculture,1
23,soup preparation and serving,3,algerian,food,arabculture,1
24,shorba with salted accompaniments,4,algerian,food,arabculture,1
25,dinner meal customs,3,algerian,food,arabculture,1
26,main dish accompaniments,4,algerian,food,arabculture,1
27,warm dinner in winter,3,algerian,food,arabculture,1
28,mother preparing hot meal,4,algerian,food,arabculture,1
29,maternal caretaking role,3,algerian,family,arabculture,1
30,religion,1,universal,religion,arabculture,144
31,arab,2,arab,religion,arabculture,21
32,ramadan observance,3,arab,religion,arabculture,2
33,family gathering at iftar,3,algerian,family,arabculture,2
34,breaking fast together,4,algerian,food,arabculture,1
35,ramadan fasting practice,3,arab,religion,arabculture,7
36,breaking fast at maghrib call,4,arab,religion,arabculture,1
37,maghrib prayer timing,4,arab,religion,arabculture,1
38,sequential ritual order,3,arab,tradition,arabculture,1
39,ramadan iftar gathering,3,arab,religion,arabculture,1
40,family assembly in salon,4,algerian,family,arabculture,1
41,ramadan evening gathering,4,algerian,tradition,arabculture,1
42,suhoor pre-dawn meal,4,algerian,food,arabculture,1
43,nutrition for fasting,3,algerian,health,arabculture,1
44,islamic practice,2,arab,religion,arabculture,1
45,ramadan fasting,3,algerian,religion,arabculture,4
46,suhoor pre-dawn meal,3,algerian,food,arabculture,1
47,defined eating window,4,algerian,religion,arabculture,1
48,ends at adhan call,4,algerian,religion,arabculture,1
49,ramadan pre-dawn meal,3,algerian,food,arabculture,12
50,light suhoor preference,4,algerian,food,arabculture,1
51,dietary restrictions,3,algerian,health,arabculture,1
52,light traditional suhoor,4,algerian,food,arabculture,1
53,light simple suhoor,4,algerian,food,arabculture,1
54,sweet preparation tradition,3,algerian,food,arabculture,2
55,meshwisha dessert,4,algerian,food,arabculture,1
56,ramadan sweets tradition,3,algerian,food,arabculture,1
57,diverse ramadan desserts,4,algerian,food,arabculture,1
58,household ramadan preparation,4,algerian,family,arabculture,1
59,sweets preparation for celebration,3,algeria,food,arabculture,1
60,mother cooks sweets for good fortune,4,algeria,food,arabculture,1
61,celebration and success,2,algeria,tradition,arabculture,1
62,family traditions,1,algeria,family,arabculture,1
63,tradition,1,algerian,tradition,arabculture,156
64,visiting sick person,3,algerian,tradition,arabculture,1
65,offering fruit gifts,3,algerian,food,arabculture,1
66,bringing fruit to patient,4,algerian,food,arabculture,1
67,fruits in sweets,3,algerian,food,arabculture,1
68,fruit flavoring desserts,4,algerian,food,arabculture,1
69,preparing light meals,3,algerian,food,arabculture,1
70,packing snacks for work,4,algerian,food,arabculture,1
71,snack consumption preference,3,algerian,food,arabculture,1
72,purchasing favorite snacks,4,algerian,food,arabculture,1
73,wedding celebration,3,algerian,family,arabculture,11
74,bride sharing joy with family,3,algerian,family,arabculture,1
75,wedding venue selection,4,algerian,family,arabculture,1
76,capital city cuisine dish,3,algerian,food,arabculture,1
77,serving special wedding meal,4,algerian,food,arabculture,1
78,marriage gift obligation,3,algerian,family,arabculture,1
79,mahr from groom to bride,4,algerian,family,arabculture,1
80,completing marriage pillars,3,algerian,religion,arabculture,1
81,pre-wedding family celebrations,3,algerian,family,arabculture,1
82,bride's family festivities day before wedding,4,algerian,family,arabculture,1
83,marriage customs,3,algerian,tradition,arabculture,2
84,bride wedding preparation,3,algerian,family,arabculture,1
85,bride clothing assembly,4,algerian,family,arabculture,1
86,multi-month preparation period,4,algerian,family,arabculture,1
87,wedding dinner celebration,3,algeria,tradition,arabculture,1
88,couple hosts pre-wedding dinner,4,algeria,tradition,arabculture,1
89,family gathering,3,algeria,family,arabculture,6
90,wedding ceremony customs,3,algerian,tradition,arabculture,1
91,bride departure from home,4,algerian,tradition,arabculture,1
92,gender roles in marriage,3,algerian,gender,arabculture,1
93,henna celebration,3,algerian,tradition,arabculture,1
94,women singing during henna application,4,algerian,tradition,arabculture,1
95,wedding ceremonies,3,algerian,tradition,arabculture,1
96,wedding music importance,3,algerian,tradition,arabculture,1
97,music selection coordination,4,algerian,tradition,arabculture,1
98,bride's attire,4,algerian,tradition,arabculture,1
99,wedding ceremony,3,algerian,tradition,arabculture,6
100,bride white dress entrance,4,algerian,tradition,arabculture,1
101,groom accompaniment,4,algerian,tradition,arabculture,1
102,ramadan preparation,3,algerian,religion,arabculture,2
103,mother purchases supplies,4,algerian,religion,arabculture,1
104,mother household role,3,algerian,family,arabculture,1
105,mawlid celebration preparations,3,algerian,religion,arabculture,1
106,cooking rshta dish,4,algerian,food,arabculture,1
107,mother's ritual role,4,algerian,family,arabculture,1
108,eid al-fitr celebration,3,algerian,religion,arabculture,4
109,children's anticipation and customs,4,algerian,religion,arabculture,1
110,family preparation rituals,3,algerian,family,arabculture,1
111,eid al-adha celebration,2,algerian,religion,arabculture,1
112,father purchases sacrifice animal,3,algerian,religion,arabculture,1
113,sharing with those in need,3,algerian,religion,arabculture,1
114,buying eid sacrifice,4,algerian,religion,arabculture,1
115,eid al-adha celebration,3,algerian,religion,arabculture,8
116,family and kinship greetings,3,algerian,family,arabculture,1
117,visiting family on eid al-adha,4,algerian,family,arabculture,1
118,extending greetings to relatives,4,algerian,tradition,arabculture,1
119,animal sacrifice ritual,3,algerian,religion,arabculture,3
120,mother leads post-sacrifice duties,4,algerian,religion,arabculture,1
121,family participation in ritual,3,algerian,family,arabculture,1
122,religious holiday observance,3,algerian,tradition,arabculture,2
123,sharak pastry making,3,algerian,food,arabculture,1
124,welcoming guests with sweets,3,algerian,food,arabculture,1
125,sharak pastry,4,algerian,food,arabculture,1
126,henna application on eid eve,3,algerian,tradition,arabculture,1
127,celebration of religious festivals,3,algerian,religion,arabculture,1
128,applying henna to hands and body,4,algerian,tradition,arabculture,1
129,eid al-adha observance,3,algeria,religion,arabculture,2
130,elder brother responsibilities,3,algeria,family,arabculture,1
131,eldest son leadership role,4,algeria,family,arabculture,1
132,eid al-adha celebration meal,3,algerian,food,arabculture,1
133,fried lamb ribs lunch,4,algerian,food,arabculture,1
134,islamic tradition,2,algerian,religion,arabculture,1
135,fasting on arafah day,3,algerian,religion,arabculture,1
136,preparation for eid al-adha,3,algerian,religion,arabculture,1
137,arafah day fasting ritual,4,algerian,religion,arabculture,1
138,sharing sacrificial meat,3,algerian,family,arabculture,1
139,distributing meat to family,4,algerian,family,arabculture,1
140,preparing sabli sweets,4,algeria,food,arabculture,1
141,women's preparation for religious holidays,3,algeria,tradition,arabculture,1
142,grooming and dressing in finest attire,4,algeria,tradition,arabculture,1
143,religious festivals,3,algeria,religion,arabculture,2
144,new year celebration preparations,3,algeria,tradition,arabculture,1
145,mother prepares family gathering,4,algeria,family,arabculture,1
146,new year's eve night,4,algeria,tradition,arabculture,1
147,independence day commemoration,3,algerian,tradition,arabculture,3
148,honoring martyrs memory,3,algerian,tradition,arabculture,1
149,family gathering for independence day,4,algerian,tradition,arabculture,1
150,birthday celebration customs,3,algeria,tradition,arabculture,1
151,mother buys cake and gift,4,algeria,tradition,arabculture,1
152,maternal care role,3,algeria,family,arabculture,1
153,gender,1,general,gender,arabculture,5
154,honoring women on women's day,3,algerian,gender,arabculture,1
155,corporate and institutional recognition,4,algerian,gender,arabculture,1
156,mother's day celebration,3,algeria,tradition,arabculture,3
157,honoring and thanking mother,4,algeria,family,arabculture,1
