node_id,label,level,cultural_group,domain,source_dataset,frequency
0,human,0,universal,identity,schema,1
1,food,1,algeria,unknown,arabculture,2824
2,abundant and delicious breakfast,3,algeria,unknown,arabculture,1
3,full and tasty breakfast,3,algeria,unknown,arabculture,1
4,breakfast,2,algeria,unknown,arabculture,13
5,starting day well,3,algeria,unknown,arabculture,1
6,ramadan,1,algeria,unknown,arabculture,78
7,having breakfast,3,algeria,unknown,arabculture,1
8,by preparing breakfast,3,algeria,unknown,arabculture,1
9,light breakfast,3,algeria,unknown,arabculture,1
10,light meal,5,algeria,unknown,arabculture,4
11,having light breakfast,3,algeria,unknown,arabculture,1
12,waking up,3,algeria,unknown,arabculture,1
13,zinb,3,algeria,unknown,arabculture,1
14,algeria,1,algeria,unknown,arabculture,1357
15,traditional dishes,1,algeria,unknown,arabculture,44
16,chickpea stew,3,algeria,unknown,arabculture,7
17,mothers in algeria,3,algeria,unknown,arabculture,1
18,light and beloved,3,algeria,unknown,arabculture,1
19,"wheat flour, chickpeas, and vegetables",3,algeria,unknown,arabculture,1
20,north african culinary traditions,3,algeria,unknown,arabculture,1
21,algerian meal preparation,3,algeria,unknown,arabculture,1
22,accompaniments,3,algeria,unknown,arabculture,1
23,important accompaniments,3,algeria,unknown,arabculture,1
24,family members for iftar,3,algeria,unknown,arabculture,1
25,north africa,1,algeria,unknown,arabculture,40
26,daytime fasting,3,algeria,unknown,arabculture,1
27,fajr prayer,3,algeria,unknown,arabculture,1
28,for iftar,3,algeria,unknown,arabculture,1
29,ramadan tradition,3,algeria,unknown,arabculture,1
30,light iftar meals,3,algeria,unknown,arabculture,1
31,dietary practice,3,algeria,unknown,arabculture,1
32,eating light breakfast,3,algeria,unknown,arabculture,1
33,light traditional pre-dawn meal,3,algeria,unknown,arabculture,1
34,light traditional food,3,algeria,unknown,arabculture,1
35,moderate sahoor meals,3,algeria,unknown,arabculture,1
36,sahoor time,3,algeria,unknown,arabculture,1
37,eating light traditional food,3,algeria,unknown,arabculture,1
38,fadi,3,algeria,unknown,arabculture,1
39,light and simple suhoor,3,algeria,unknown,arabculture,1
40,suhoor,3,algeria,unknown,arabculture,9
41,light and simple food,3,algeria,unknown,arabculture,1
42,sahoor during ramadan,3,algeria,unknown,arabculture,1
43,traditional_sweets,3,algeria,unknown,arabculture,1
44,common_culinary_traditions,3,algeria,unknown,arabculture,1
45,throughout algeria,3,algeria,unknown,arabculture,1
46,mother,1,algeria,unknown,arabculture,32
47,of success,3,algeria,unknown,arabculture,1
48,successful occasion,3,algeria,unknown,arabculture,1
49,favorite light meal,3,algeria,unknown,arabculture,1
