source_lens,target_lens,source_lens_name,target_lens_name,shared_entity_count,top_shared_entities
lens_14,lens_19,prepares,is,141,"human, united states, teacher, algeria, nurse"
lens_00,lens_19,uses,is,129,"human, united states, teacher, algeria, nurse"
lens_01,lens_19,performs,is,104,"human, united states, teacher, algeria, nurse"
lens_10,lens_19,originates from,is,90,"human, united states, algeria, women, family"
lens_00,lens_14,uses,prepares,88,"human, united states, teacher, algeria, nurse"
lens_16,lens_19,varies by,is,87,"human, united states, teacher, algeria, nurse"
lens_00,lens_01,uses,performs,76,"human, united states, teacher, algeria, nurse"
lens_11,lens_19,reflects,is,74,"human, united states, teacher, settings, textiles"
lens_13,lens_19,characterized by,is,74,"human, united states, algeria, intricate designs, fruit"
lens_01,lens_11,performs,reflects,70,"human, united states, teacher, textiles, weddings"
lens_01,lens_14,performs,prepares,70,"human, united states, teacher, algeria, nurse"
lens_10,lens_14,originates from,prepares,67,"human, united states, algeria, women, family"
lens_00,lens_16,uses,varies by,61,"human, united states, teacher, algeria, nurse"
lens_00,lens_15,uses,prefer,58,"human, united states, teacher, algeria, nurse"
lens_00,lens_09,uses,enjoy,57,"human, united states, teacher, algeria, nurse"
lens_01,lens_13,performs,characterized by,56,"human, united states, algeria, folk dance, muga silk"
lens_13,lens_14,characterized by,prepares,53,"human, united states, algeria, intricate designs, bread"
lens_15,lens_19,prefer,is,53,"human, united states, teacher, algeria, nurse"
lens_00,lens_10,uses,originates from,50,"human, united states, algeria, women, family"
lens_14,lens_16,prepares,varies by,47,"human, united states, teacher, algeria, nurse"
lens_07,lens_19,values,is,45,"human, united states, teacher, algeria, nurse"
lens_01,lens_03,performs,participate in,43,"human, united states, teacher, nurse, women"
lens_15,lens_16,prefer,varies by,41,"human, united states, teacher, algeria, nurse"
lens_01,lens_16,performs,varies by,40,"human, united states, teacher, algeria, nurse"
lens_09,lens_19,enjoy,is,40,"human, united states, teacher, algeria, nurse"
lens_14,lens_17,prepares,made from,40,"human, united states, fabric, textiles, lasingphee"
lens_11,lens_13,reflects,characterized by,39,"human, united states, intricate designs, folk dance, vibrant colors"
lens_10,lens_16,originates from,varies by,38,"human, united states, algeria, women, food"
lens_14,lens_15,prepares,prefer,38,"human, united states, teacher, algeria, nurse"
lens_03,lens_19,participate in,is,32,"human, united states, teacher, nurse, women"
lens_05,lens_13,features,characterized by,32,"human, intricate designs, puan, vibrant colors, intricate patterns"
lens_11,lens_14,reflects,prepares,32,"human, united states, teacher, textiles, intricate designs"
lens_01,lens_09,performs,enjoy,31,"human, united states, teacher, algeria, nurse"
lens_01,lens_10,performs,originates from,31,"human, united states, algeria, women, family"
lens_11,lens_12,reflects,expresses,31,"human, united states, settings, artist, workplace"
lens_17,lens_19,made from,is,31,"human, united states, fabric, textiles, language"
lens_12,lens_19,expresses,is,30,"human, united states, settings, artist, tipping"
lens_00,lens_07,uses,values,29,"human, united states, teacher, algeria, nurse"
lens_00,lens_11,uses,reflects,29,"human, united states, teacher, settings, weddings"
lens_10,lens_13,originates from,characterized by,29,"human, united states, algeria, fruit, bread"
lens_05,lens_19,features,is,28,"human, fabric, intricate designs, puan, vibrant colors"
lens_09,lens_14,enjoy,prepares,27,"human, united states, teacher, algeria, nurse"
lens_10,lens_17,originates from,made from,27,"human, united states, lasingphee, pochampally ikat, mahr"
lens_11,lens_16,reflects,varies by,25,"human, united states, teacher, settings, textiles"
lens_01,lens_15,performs,prefer,23,"human, united states, teacher, algeria, nurse"
lens_13,lens_17,characterized by,made from,23,"human, united states, puan, pochampally ikat, lepcha thara"
lens_07,lens_11,values,reflects,22,"human, united states, teacher, artist, workplace"
lens_09,lens_10,enjoy,originates from,22,"human, united states, algeria, women, family"
lens_09,lens_15,enjoy,prefer,22,"human, united states, teacher, algeria, nurse"
lens_09,lens_16,enjoy,varies by,22,"human, united states, teacher, algeria, nurse"
lens_10,lens_11,originates from,reflects,22,"human, united states, air conditioning, holidays, gamosa"
lens_00,lens_03,uses,participate in,21,"human, united states, teacher, nurse, women"
lens_12,lens_16,expresses,varies by,21,"human, united states, settings, general, artist"
lens_01,lens_07,performs,values,20,"human, united states, teacher, algeria, nurse"
lens_01,lens_12,performs,expresses,20,"human, united states, rikham pada, chakhela dance, chomangkan dance"
lens_18,lens_19,receives,is,20,"human, united states, family, children, food"
lens_03,lens_16,participate in,varies by,19,"human, united states, teacher, nurse, women"
lens_00,lens_17,uses,made from,18,"human, united states, fabric, lasingphee, language"
lens_00,lens_18,uses,receives,18,"human, united states, family, children, food"
lens_05,lens_14,features,prepares,18,"human, fabric, intricate designs, intricate patterns, tsugdan"
lens_00,lens_12,uses,expresses,17,"human, united states, settings, general, workplace"
lens_08,lens_19,symbolizes,is,17,"human, intricate designs, new year, muga silk, discipline"
lens_10,lens_15,originates from,prefer,17,"human, united states, algeria, women, doctor"
lens_14,lens_18,prepares,receives,17,"human, united states, family, food, wedding"
lens_04,lens_14,practices,prepares,16,"human, united states, nurse, doctor, general"
lens_05,lens_11,features,reflects,16,"human, intricate designs, vibrant colors, intricate patterns, khes"
lens_13,lens_16,characterized by,varies by,16,"human, united states, algeria, bread, khes"
lens_01,lens_02,performs,includes,15,"human, fabric, textiles, dhurrie, risa"
lens_03,lens_15,participate in,prefer,15,"human, united states, teacher, nurse, women"
lens_07,lens_12,values,expresses,15,"human, united states, artist, workplace, american"
lens_07,lens_14,values,prepares,15,"human, united states, teacher, algeria, nurse"
lens_07,lens_16,values,varies by,15,"human, united states, teacher, algeria, nurse"
lens_01,lens_08,performs,symbolizes,14,"human, muga silk, festival, pichhora, white"
lens_03,lens_07,participate in,values,14,"human, united states, teacher, nurse, children"
lens_07,lens_09,values,enjoy,14,"human, united states, teacher, algeria, nurse"
lens_07,lens_10,values,originates from,14,"human, united states, algeria, family, doctor"
lens_09,lens_18,enjoy,receives,14,"human, united states, family, children, food"
lens_01,lens_05,performs,features,13,"human, fabric, puan, miri jimo, dakmanda"
lens_04,lens_19,practices,is,13,"human, united states, nurse, doctor, artist"
lens_07,lens_15,values,prefer,13,"human, united states, teacher, algeria, nurse"
lens_08,lens_11,symbolizes,reflects,13,"human, intricate designs, new year, pichhora, gamosa"
lens_09,lens_11,enjoy,reflects,13,"human, united states, teacher, communication, sports"
lens_09,lens_12,enjoy,expresses,13,"human, united states, general, greetings, gratitude"
lens_11,lens_17,reflects,made from,13,"human, united states, textiles, water, chanderi saree"
lens_01,lens_04,performs,practices,12,"human, united states, nurse, quilts, dhurrie"
lens_03,lens_11,participate in,reflects,12,"human, united states, teacher, settings, weddings"
lens_03,lens_14,participate in,prepares,12,"human, united states, teacher, nurse, women"
lens_10,lens_18,originates from,receives,12,"human, united states, family, food, wedding"
lens_16,lens_18,varies by,receives,12,"human, united states, food, people, customer"
lens_04,lens_16,practices,varies by,11,"human, united states, nurse, doctor, general"
lens_16,lens_17,varies by,made from,11,"human, united states, textiles, language, navalgund durries"
lens_02,lens_19,includes,is,10,"human, fabric, textiles, intricate designs, lunch"
