source_id,target_id,source_label,target_label,relation_type,weight,source_dataset
1,2,food,abundant and delicious breakfast,enjoys eating,1,arabculture
1,3,food,full and tasty breakfast,starts day with,1,arabculture
4,5,breakfast,starting day well,important for,1,arabculture
6,7,ramadan,having breakfast,time for,1,arabculture
1,9,food,light breakfast,decides to have,1,arabculture
1,10,food,light meal,consists of,1,arabculture
1,12,food,waking up,occurs after,1,arabculture
13,1,zinb,food,prepares,1,arabculture
1,4,food,breakfast,part of,1,arabculture
4,1,breakfast,food,shared,1,arabculture
14,15,algeria,traditional dishes,values,1,arabculture
14,16,algeria,chickpea stew,enjoys eating,1,arabculture
17,16,mothers in algeria,chickpea stew,prepares,1,arabculture
16,18,chickpea stew,light and beloved,described as,1,arabculture
16,1,chickpea stew,food,served for,1,arabculture
1,14,food,algeria,is popular dish in,1,arabculture
14,1,algeria,food,enjoy eating,7,arabculture
1,19,food,"wheat flour, chickpeas, and vegetables",consists of,1,arabculture
14,20,algeria,north african culinary traditions,reflects,1,arabculture
1,22,food,accompaniments,accompanied by,1,arabculture
14,23,algeria,important accompaniments,values,1,arabculture
1,14,food,algeria,is prepared by grandmother,1,arabculture
14,24,algeria,family members for iftar,ensure gathering,1,arabculture
6,25,ramadan,north africa,celebrated in,1,arabculture
6,14,ramadan,algeria,promotes unity,1,arabculture
1,26,food,daytime fasting,prepares for fasting,1,arabculture
1,6,food,ramadan,important meal,1,arabculture
6,25,ramadan,north africa,promotes fasting,1,arabculture
1,14,food,algeria,observed by,2,arabculture
1,27,food,fajr prayer,begins before,1,arabculture
1,28,food,for iftar,eats light breakfast,1,arabculture
25,30,north africa,light iftar meals,practices,1,arabculture
31,32,dietary practice,eating light breakfast,involves,1,arabculture
14,33,algeria,light traditional pre-dawn meal,encourages,1,arabculture
1,34,food,light traditional food,consists of,1,arabculture
14,35,algeria,moderate sahoor meals,prefer,1,arabculture
36,37,sahoor time,eating light traditional food,involves,1,arabculture
38,39,fadi,light and simple suhoor,prefers,1,arabculture
40,41,suhoor,light and simple food,consists of,1,arabculture
14,42,algeria,sahoor during ramadan,practice,1,arabculture
6,1,ramadan,food,involves,1,arabculture
1,6,food,ramadan,type_of,1,arabculture
14,43,algeria,traditional_sweets,enjoy,1,arabculture
25,44,north africa,common_culinary_traditions,shares,1,arabculture
14,6,algeria,ramadan,celebrate during ramadan,1,arabculture
6,14,ramadan,algeria,are diverse,1,arabculture
6,45,ramadan,throughout algeria,are found in every home,1,arabculture
46,14,mother,algeria,prepares sweets,1,arabculture
6,47,ramadan,of success,symbolize celebration,1,arabculture
1,48,food,successful occasion,triggers sweet preparation,1,arabculture
14,25,algeria,north africa,cultural practice,1,arabculture
1,49,food,favorite light meal,enjoys buying,1,arabculture
1,10,food,light meal,buys,1,arabculture
50,1,marry,food,values sharing happiness,1,arabculture
1,51,food,entire family,wants to involve,1,arabculture
52,53,wedding venue,bride mary,important for,1,arabculture
54,55,wedding celebration location,sharing joy,symbolizes,1,arabculture
14,56,algeria,local delicacy,serves,1,arabculture
57,58,guests,rich local cuisine,enjoy,1,arabculture
14,59,algeria,local food,values,1,arabculture
14,60,algeria,special local dish,features,1,arabculture
61,62,bride's family,according to customs,organizes pre-wedding events,1,arabculture
63,64,pre-wedding events,within traditions,include special activities,1,arabculture
25,65,north africa,regarding weddings,shares similar customs,1,arabculture
66,67,day before wedding,for brides' families,marked by specific rituals,1,arabculture
68,69,bride,months,prepares wedding clothes,1,arabculture
68,70,bride,for wedding ceremony,engages in long-term preparation,1,arabculture
71,72,wedding clothes,bride's effort,symbolize,1,arabculture
73,25,cultural practice,north africa,varies by region,2,arabculture
68,15,bride,traditional dishes,leaves home privately,1,arabculture
74,14,ceremony,algeria,includes private departure of bride,1,arabculture
75,14,teacher,algeria,plays important role,1,arabculture
68,76,bride,with music,wears special attire,1,arabculture
77,14,wedding music,algeria,reflects cultural significance,1,arabculture
25,78,north africa,algerian wedding celebrations,hosts,1,arabculture
68,79,bride,with groom,wears white dress,1,arabculture
80,1,groom,food,enter hall,1,arabculture
81,68,white dress,bride,symbolizes purity,1,arabculture
14,82,algeria,eid al-adha,increase enthusiasm,1,arabculture
14,83,algeria,near eid al-fitr,engage in favorite customs,1,arabculture
82,14,eid al-adha,algeria,bring excitement,1,arabculture
14,82,algeria,eid al-adha,value family traditions,1,arabculture
1,6,food,ramadan,makes,1,arabculture
6,82,ramadan,eid al-adha,celebrates,1,arabculture
82,84,eid al-adha,welcoming atmosphere,brings,1,arabculture
1,85,food,on the night of the holiday,performs henna application,1,arabculture
1,25,food,north africa,celebrated in,1,arabculture
1,14,food,algeria,symbolizes,2,arabculture
1,86,food,customer,engages in,1,arabculture
87,82,brothers,eid al-adha,performs important tasks,1,arabculture
87,82,brothers,eid al-adha,undertakes responsibilities,1,arabculture
14,88,algeria,during eid al-adha lunch,eat deep-fried lamb ribs,1,arabculture
14,1,algeria,food,observes on,1,arabculture
14,1,algeria,food,fasts on,1,arabculture
14,82,algeria,eid al-adha,prepares for,1,arabculture
1,89,food,preparation for eid al-adha,marks,1,arabculture
90,91,family bnaya,after sacrificing,shares meat from sacrifice,1,arabculture
14,92,algeria,during holidays,practices sacrifice,1,arabculture
93,94,lamb meat,for sharing,part of sacrifice,1,arabculture
92,14,during holidays,algeria,occasion for sacrifice,1,arabculture
1,95,food,eid celebration,symbolizes,1,arabculture
1,96,food,taste,appeals to,1,arabculture
14,1,algeria,food,prepare for celebration,1,arabculture
14,1,algeria,food,wear best clothes,1,arabculture
1,14,food,algeria,occasion for dressing up,1,arabculture
1,99,food,before school,prepares her hair,1,arabculture
1,100,food,age,8 years old,1,arabculture
14,1,algeria,food,values grooming,1,arabculture
6,101,ramadan,gifts,includes hair care,1,arabculture
1,102,food,compulsory school symbol,wears,1,arabculture
105,106,liyla,colleagues,spends time with,1,arabculture
107,108,work environment,prevails,professional atmosphere,1,arabculture
14,86,algeria,customer,values,2,arabculture
14,109,algeria,teamwork,promotes,1,arabculture
110,111,salmia and her colleagues,for entertainment,engage in collective activities,1,arabculture
112,113,collective activities,workmates,reduce work stress,1,arabculture
14,114,algeria,through group events,values social bonding,1,arabculture
115,1,algerian work environment,food,encourages relaxation,1,arabculture
1,116,food,at four o'clock,finishes work,1,arabculture
14,117,algeria,on friday morning,clean their homes,1,arabculture
118,119,friday morning,house cleaning,dedicated for,1,arabculture
14,1,algeria,food,values cleanliness,1,arabculture
120,121,household,cleaning and organizing,include,1,arabculture
1,125,food,helping,for the purpose of,1,arabculture
1,126,food,cleaning and cooking,involves,1,arabculture
1,127,food,with effective cleaning materials,cleans floor,1,arabculture
1,128,food,in home,values cleanliness,1,arabculture
123,129,cleaning,hygiene,expresses,1,arabculture
130,131,floor cleaning,effective cleaning materials,uses,1,arabculture
1,135,food,deep cleaning,subject of,1,arabculture
1,120,food,household,devotes time to,1,arabculture
1,120,food,household,ends responsibilities,1,arabculture
136,137,hmaram,activities she loves,spends leisure time on,1,arabculture
1,138,food,tiring,follows work period,1,arabculture
14,1,algeria,food,values,7,arabculture
136,139,hmaram,free time,enjoys,1,arabculture
143,25,eating culture,north africa,varies by region,1,arabculture
14,1,algeria,food,enjoy local cuisine,1,arabculture
14,144,algeria,in communication,use phrases for peace,1,arabculture
145,146,hamza,reliable source,borrows money from,1,arabculture
14,147,algeria,reliable lenders,prefer,1,arabculture
148,149,money borrowing,need arises,occurs when,1,arabculture
150,151,nile valley,trustworthiness,values,1,arabculture
1,154,food,travel,needed for,1,arabculture
1,155,food,for distant relatives,attended wedding,1,arabculture
1,156,food,for wedding,bought gift,1,arabculture
157,158,gifting,to family,expresses respect,1,arabculture
1,160,food,with beautiful wrapping,are adorned,1,arabculture
1,162,food,thoroughly and effectively,cares for her skin,1,arabculture
163,164,skin care,priest,expresses beauty value,1,arabculture
14,165,algeria,beautiful skin,value,1,arabculture
166,167,sammi's toys,sammi,are beloved by child,1,arabculture
1,14,food,algeria,bring joy to,1,arabculture
168,169,boutoul,daily at home,plays favorite game,1,arabculture
170,1,five-year-old boutoul,food,enjoys playing,1,arabculture
14,171,algeria,at home,play games,1,arabculture
171,172,at home,for algerian children,place for play,1,arabculture
1,173,food,cousins,played with,1,arabculture
174,14,game,algeria,specific to,1,arabculture
174,171,game,at home,played in,2,arabculture
1,175,food,popular children's video games,plays frequently,1,arabculture
1,176,food,without getting bored,keeps playing,1,arabculture
177,178,ali and his friends,play,master traditional games,1,arabculture
15,179,traditional dishes,widely,known,1,arabculture
14,180,algeria,streets and parks,play outdoors games,1,arabculture
174,14,game,algeria,are popular for entertainment,1,arabculture
174,25,game,north africa,exist everywhere,1,arabculture
14,1,algeria,food,play,2,arabculture
1,14,food,algeria,are common,1,arabculture
181,1,family of deceased,food,performs farewell,1,arabculture
73,182,cultural practice,ritual,includes mourning,1,arabculture
150,183,nile valley,mourning,participates in,1,arabculture
14,184,algeria,respect for the dead,values,1,arabculture
14,171,algeria,at home,performs funeral rituals,1,arabculture
182,171,ritual,at home,occur in,1,arabculture
14,185,algeria,through traditions,values continuity,1,arabculture
14,25,algeria,north africa,exists in,1,arabculture
14,1,algeria,food,bury,1,arabculture
186,182,burial,ritual,follows,1,arabculture
150,187,nile valley,dignified ceremony,performs,1,arabculture
182,188,ritual,respect for deceased,express,1,arabculture
189,190,ahl al-mait,after funeral rites,prepare charity,1,arabculture
191,192,charity,in arabic,called sadaqa,1,arabculture
182,193,ritual,preparing charity,conclude with,1,arabculture
73,25,cultural practice,north africa,performed in,1,arabculture
14,194,algeria,after forty days,divide inheritance,1,arabculture
195,1,inheritance,food,distributed among family,1,arabculture
1,196,food,of deceased's possessions,receive share,1,arabculture
73,197,cultural practice,inheritance distribution,observed in north africa,1,arabculture
198,199,time period,forty days after death,determines division,1,arabculture
75,1,teacher,food,features instrument,1,arabculture
1,200,food,specific lute,uses,1,arabculture
201,1,music of sahara,food,includes,1,arabculture
202,1,saharan music,food,characterized_by,1,arabculture
1,14,food,algeria,passed down,1,arabculture
14,82,algeria,eid al-adha,sing special songs,1,arabculture
14,203,algeria,on eid day,hear songs,1,arabculture
82,204,eid al-adha,special occasion,marks end of ramadan,1,arabculture
205,206,special songs,through generations,passed down,1,arabculture
1,207,food,tizi ouzou and bejaia,vary by region,1,arabculture
208,1,people of tizi ouzou and bejaia,food,perform unique dance,1,arabculture
209,1,dance,food,diverse in algeria,1,arabculture
210,1,algerian dance,food,expresses local culture,1,arabculture
1,211,food,in southern sahara,perform special dance,1,arabculture
209,212,dance,southern sahara,unique to region,1,arabculture
209,213,dance,northern algeria,distinct from other areas,1,arabculture
14,214,algeria,on weekends,spend time together,1,arabculture
215,216,weekends,for families,opportunity for outings,1,arabculture
1,217,food,eid rituals,celebrate with grandchildren,1,arabculture
1,14,food,algeria,marks celebration,1,arabculture
14,1,algeria,food,values intergenerational bonding,1,arabculture
1,218,food,during school holidays,visit grandparents,1,arabculture
219,220,school holidays,between grandchildren and grandparents,enable interaction,1,arabculture
73,25,cultural practice,north africa,exists in,2,arabculture
221,222,algerian tribes,crops,observe sacred planting seasons,1,arabculture
221,223,algerian tribes,enthusiastically,anticipate planting seasons,1,arabculture
1,221,food,algerian tribes,considered sacred,1,arabculture
1,221,food,algerian tribes,mark agricultural calendar,1,arabculture
1,224,food,local product,cultivates special crop,1,arabculture
225,1,algerians from southern region,food,cares for and exports,1,arabculture
1,226,food,foreign countries,exported to,1,arabculture
1,227,food,unique cultivation,known for,1,arabculture
1,228,food,agricultural products,known for,1,arabculture
1,229,food,in sekkda,takes place annually,1,arabculture
230,231,fruit harvest,local agriculture,promotes,1,arabculture
14,232,algeria,sadness,express emotion through proverbs,1,arabculture
233,234,algerian proverb,man and woman,describes social interaction,1,arabculture
1,235,food,hit,experiences physical action,1,arabculture
1,236,food,cry,experiences emotional response,1,arabculture
1,237,food,win race,outperforms woman,1,arabculture
1,238,food,to woman,complains,1,arabculture
14,239,algeria,leaves village,moves away from home,1,arabculture
1,240,food,community shares wisdom,expressed verbally,1,arabculture
241,73,youth migration,cultural practice,encouraged by,1,arabculture
242,243,village life,leaving for city,depicted negatively,1,arabculture
14,244,algeria,the night of tadbir,occurs on,1,arabculture
245,246,tadbir,cultural celebration,is a,1,arabculture
14,86,algeria,customer,observe,1,arabculture
247,248,algerian weddings,nighttime festivities,feature,1,arabculture
1,249,food,seeking help,expresses,1,arabculture
1,250,food,community support,encourages,1,arabculture
1,251,food,helplessness,implies,1,arabculture
252,253,person who leaves,leaves behind daughter,leaves and returns,1,arabculture
254,120,daughter,household,left behind,1,arabculture
150,255,nile valley,prefers continuity,values stability,1,arabculture
256,257,social norm,staying,encourages,1,arabculture
1,14,food,algeria,exists between,1,arabculture
14,258,algeria,strong bonds among siblings,values,1,arabculture
87,259,brothers,special relationship,share,1,arabculture
260,261,sibling relationships,algerian society,important in,1,arabculture
262,263,elders,younger siblings,take responsibility for,1,arabculture
87,1,brothers,food,express,1,arabculture
264,265,north african cultures,sibling care,share,1,arabculture
1,266,food,every morning,drinks coffee,1,arabculture
14,6,algeria,ramadan,consume,2,arabculture
14,267,algeria,milk with chocolate for breakfast,prefer,1,arabculture
14,268,algeria,breakfast time,enjoy,1,arabculture
6,269,ramadan,start of day,marks,1,arabculture
14,270,algeria,healthy breakfast habits,encourage,1,arabculture
271,272,countryside people,shraib in the morning,prefer to drink,1,arabculture
273,274,shraib,beverages,consists of,1,arabculture
6,275,ramadan,drinking shraib,time for,1,arabculture
73,276,cultural practice,algerian countryside,exists in,1,arabculture
25,1,north africa,food,shares culinary tradition,1,arabculture
277,278,waled,mahjub for lunch,prefers eating,1,arabculture
1,279,food,mahjub,includes,1,arabculture
14,280,algeria,for mahjub at lunch,have dietary preference,1,arabculture
14,25,algeria,north africa,cultural practice varies by,1,arabculture
1,25,food,north africa,typical meal,1,arabculture
1,14,food,algeria,social event,1,arabculture
1,281,food,noon,time of day,1,arabculture
1,282,food,harissa-stuffed olives tagine,prepares,1,arabculture
1,283,food,olives,includes,1,arabculture
14,284,algeria,leisure activities,enjoy,1,arabculture
284,1,leisure activities,food,often_includes,1,arabculture
1,285,food,first food of iftar,symbolize,1,arabculture
86,286,customer,sharing iftar among family,involves,1,arabculture
6,287,ramadan,end of fast,mark,1,arabculture
1,288,food,side dish,includes,1,arabculture
1,289,food,bread,includes,1,arabculture
1,290,food,drinks,includes,1,arabculture
14,6,algeria,ramadan,prepare,1,arabculture
6,291,ramadan,meals,accompany,1,arabculture
292,293,algerian ramadan tradition,sharing meals,involves,1,arabculture
294,295,frikkah,sharba,replaced by,1,arabculture
14,296,algeria,similar dish,prefer preparing,1,arabculture
6,297,ramadan,changing dishes,includes,1,arabculture
73,298,cultural practice,regional preference,varies by,1,arabculture
1,40,food,suhoor,have grilled food,1,arabculture
40,299,suhoor,grilled food,consists of,1,arabculture
73,25,cultural practice,north africa,occurs in,1,arabculture
1,300,food,eating together,gather for,1,arabculture
1,301,food,before adhan,enjoys drinking,1,arabculture
14,1,algeria,food,practice,3,arabculture
1,302,food,thirst during fasting,helps avoid,1,arabculture
303,304,north africans,suhour tradition,share,1,arabculture
46,40,mother,suhoor,prepares warm meal,1,arabculture
40,1,suhoor,food,includes warm dish,1,arabculture
73,6,cultural practice,ramadan,promotes warmth,1,arabculture
1,6,food,ramadan,type of,1,arabculture
1,25,food,north africa,located in,1,arabculture
1,305,food,constantine,originates from,1,arabculture
1,306,food,local sweet,characterized by,1,arabculture
6,307,ramadan,constantine city,associated with,1,arabculture
6,1,ramadan,food,reflects,1,arabculture
14,308,algeria,in the desert,produces high-quality crops,1,arabculture
309,310,algerian desert,various crops,grows,1,arabculture
14,311,algeria,fresh fruits,enjoy eating,1,arabculture
14,1,algeria,food,prefer during,1,arabculture
312,14,fruit,algeria,consumed by,1,arabculture
313,1,season,food,associated with,1,arabculture
14,312,algeria,fruit,produces large quantities of,1,arabculture
314,315,algerian farmers,various fruits,cultivate,1,arabculture
312,14,fruit,algeria,are abundant in,1,arabculture
316,317,algerian agriculture,fruit production,focuses on,1,arabculture
1,318,food,cake with additions,serves,1,arabculture
284,319,leisure activities,snacks,time for,1,arabculture
320,321,cake,additions,includes,1,arabculture
14,322,algeria,evening snacks,practices,1,arabculture
1,323,food,some foods,served with,1,arabculture
14,10,algeria,light meal,enjoy,1,arabculture
1,25,food,north africa,popular snack,1,arabculture
10,324,light meal,cultural preference,reflect,1,arabculture
14,325,algeria,guests at wedding banquet,serve traditional dishes,1,arabculture
326,327,wedding banquet,traditional algerian food,feature local cuisine,1,arabculture
57,328,guests,through food served,receive hospitality,1,arabculture
14,329,algeria,through shared meal,emphasize community,1,arabculture
1,330,food,gold jewelry and gifts,consists of,1,arabculture
1,14,food,algeria,practiced in,1,arabculture
1,331,food,wealth and generosity,symbolizes,1,arabculture
1,332,food,gold set,includes,1,arabculture
68,1,bride,food,buys traditional clothing,1,arabculture
68,333,bride,daily necessities,prepares for marriage,1,arabculture
334,1,clothing,food,called,1,arabculture
14,335,algeria,preparing for bride's move,participate in,1,arabculture
68,336,bride,groom's house,move to,1,arabculture
337,338,extended families,preparation ceremony,attend,1,arabculture
73,339,cultural practice,community involvement in marriage,reflects,1,arabculture
80,340,groom,on wedding day,goes to hammam,1,arabculture
14,341,algeria,algerian customs,distinguishes between genders,1,arabculture
86,25,customer,north africa,vary by gender,1,arabculture
80,342,groom,hammam visit,participates in tradition,1,arabculture
1,343,food,good fortune,symbolizes,1,arabculture
14,1,algeria,food,includes,4,arabculture
68,14,bride,algeria,wears traditional clothing,1,arabculture
14,1,algeria,food,includes henna rituals,1,arabculture
334,344,clothing,algerian heritage,reflects culture,1,arabculture
68,1,bride,food,participates in,1,arabculture
345,346,events,western algeria,specific to,1,arabculture
347,82,smir,eid al-adha,prepares for,1,arabculture
82,14,eid al-adha,algeria,celebrated by,6,arabculture
14,348,algeria,weeks before,start preparations,1,arabculture
349,350,algerian preparations,welcoming eid al-adha,include,1,arabculture
46,82,mother,eid al-adha,performs preparations,1,arabculture
46,351,mother,for eid al-fitr celebration,engages in rituals,1,arabculture
82,352,eid al-adha,of ramadan,marks end,1,arabculture
14,353,algeria,to honor religious holidays,participates in traditions,1,arabculture
14,354,algeria,in eid al-fitr,observe traditions,1,arabculture
86,355,customer,unspecified customs,include,1,arabculture
86,206,customer,through generations,passed down,1,arabculture
1,356,food,please children,take initiative to,1,arabculture
14,82,algeria,eid al-adha,observe traditions,1,arabculture
86,357,customer,eid al-adha in algeria,specific to,1,arabculture
14,25,algeria,north africa,located in,3,arabculture
14,82,algeria,eid al-adha,eat kabsa,1,arabculture
358,359,kabsa,liver meat,consists of,1,arabculture
14,82,algeria,eid al-adha,prepares traditional dishes,1,arabculture
82,25,eid al-adha,north africa,celebrated in,1,arabculture
15,360,traditional dishes,eid al-adha celebration,part of,1,arabculture
150,82,nile valley,eid al-adha,shares meals,1,arabculture
14,361,algeria,mawlid al-nabi,celebrate,1,arabculture
361,14,mawlid al-nabi,algeria,observed by,1,arabculture
14,362,algeria,special methods,involves,1,arabculture
14,1,algeria,food,prepare dish,1,arabculture
14,363,algeria,religious traditions,reflects,1,arabculture
14,1,algeria,food,observe fast,1,arabculture
14,1,algeria,food,celebrate,7,arabculture
1,364,food,fasting,involve,1,arabculture
1,25,food,north africa,occur in,1,arabculture
14,82,algeria,eid al-adha,celebrate,1,arabculture
14,1,algeria,food,mark,1,arabculture
1,365,food,ras al-sin al-hijri,called,1,arabculture
14,366,algeria,islamic traditions,preserve,1,arabculture
14,367,algeria,in first muharram,celebrates with customs,1,arabculture
86,368,customer,first muharram,occur on,1,arabculture
369,1,muharram,food,religious festival,1,arabculture
14,370,algeria,special customs,participate in,1,arabculture
1,371,food,january 1st,occurs on,1,arabculture
14,372,algeria,non-religious festivals,includes,1,arabculture
1,373,food,many,has customs and traditions,1,arabculture
86,1,customer,food,occur during,1,arabculture
25,14,north africa,algeria,includes region,1,arabculture
14,374,algeria,various customs and traditions,features,1,arabculture
1,375,food,national independence,mark,1,arabculture
14,1,algeria,food,express,2,arabculture
1,376,food,annually,occur,1,arabculture
1,377,food,the end of french colonial rule,mark,1,arabculture
14,378,algeria,in national independence,express pride,1,arabculture
1,379,food,annually on may 8,occur,1,arabculture
1,380,food,specific means,use transportation,1,arabculture
14,381,algeria,not explicitly stated but implied,value punctuality,1,arabculture
382,383,algerian workers,going to work,follow routine,1,arabculture
14,384,algeria,north african culture,characterized by,1,arabculture
