source_id,target_id,source_label,target_label,relation_type,weight,source_dataset
2,3,sohoor,"simple, traditional foods",includes,1,arabculture
4,5,visiting a sick person,offering fruits,includes,1,arabculture
6,7,morning commute,listening to radio,includes,1,arabculture
10,11,north africa,algeria's cultural practices,includes,1,arabculture
14,15,evening meal,tagine preparation,includes,1,arabculture
16,17,dinner,salad,includes,1,arabculture
18,19,iftar,vegetable soup and side dish,includes,1,arabculture
18,21,iftar,sharba soup,includes,1,arabculture
10,22,north africa,algeria as a fruit producer,includes,1,arabculture
23,24,algerian custom,evening_snacks,includes,1,arabculture
25,26,light foods,various snacks,include,1,arabculture
27,28,algeria,pre-wedding dinner,included_in,1,arabculture
29,30,gifts,gold jewelry,include,1,arabculture
31,32,wedding procession,carriage,includes,1,arabculture
9,33,wedding celebrations,certain events,includes,1,arabculture
34,35,public gatherings,parades,include,1,arabculture
36,37,morning,waking up and preparing,includes,1,arabculture
38,39,important,"festivals, weddings, religious holidays",include,1,arabculture
40,41,food preparation,necessary actions,includes,1,arabculture
16,44,dinner,fried potatoes,includes,1,arabculture
27,45,algeria,"chicken, soup",include,1,arabculture
18,46,iftar,stuffed chicken,includes,1,arabculture
27,48,algeria,ramadan,includes,1,arabculture
49,27,wedding feast,algeria,includes,1,arabculture
9,50,wedding celebrations,sweets and soft drinks,include,1,arabculture
36,51,morning,coffee making,includes,1,arabculture
36,52,morning,eating fava bean cart,includes,1,arabculture
36,53,morning,fueling vehicle,includes,1,arabculture
36,54,morning,walking to park,includes,1,arabculture
56,57,bedtime routine,storytelling,includes,1,arabculture
42,47,breakfast,fava beans,includes,1,arabculture
60,61,daily chores,cleaning,include,1,arabculture
62,63,jamdani work,gold and silver zari,includes,1,diwali
64,65,sherdukpen shawl,symbolic motifs,includes,1,diwali
66,67,bandhani patterns,"dots, squares, waves, and stripes",include,1,diwali
27,68,algeria,intricate geometric patterns,include,1,diwali
27,69,algeria,"flowers, animals, geometric shapes",include,1,diwali
75,76,mashru,bright stripes or patterns,includes,1,diwali
77,78,textiles,garments,include,1,diwali
80,81,jamdani,floral designs,includes,1,diwali
80,27,jamdani,algeria,includes,1,diwali
27,83,algeria,vertical and horizontal stripes,include,1,diwali
77,84,textiles,"mats, ropes, fabrics",include,1,diwali
85,86,wool_varieties,"harsil, belchi, merino",include,1,diwali
87,88,nicobari banners,"trees, sun, crescent moon",include,1,diwali
