node_id,label,level,cultural_group,domain,source_dataset,frequency
0,human,0,universal,identity,schema,1
1,ramadan,1,algeria,unknown,arabculture,4
2,sahoor practice,3,algeria,unknown,arabculture,1
3,day of arafat,4,algeria,unknown,arabculture,1
4,fasting and preparation,3,algeria,unknown,arabculture,1
5,putting on the emblem,3,algeria,unknown,arabculture,1
6,economic practice,3,algeria,unknown,arabculture,1
7,borrowing money,3,algeria,unknown,arabculture,1
8,olive ingredient,3,algeria,unknown,arabculture,1
9,algeria,1,algeria,unknown,arabculture,14
10,suhour (pre-dawn meal) during ramadan,3,algeria,unknown,arabculture,1
11,multiple family members,3,algeria,unknown,arabculture,1
12,fasting and celebration,3,algeria,unknown,arabculture,1
13,january celebrations,3,algeria,unknown,arabculture,1
14,various practices,3,algeria,unknown,arabculture,1
15,communication,1,algeria,unknown,arabculture,3
16,dialect usage,3,algeria,unknown,arabculture,1
17,proverb,2,algeria,unknown,arabculture,1
18,limited knowledge,3,algeria,unknown,arabculture,1
19,marriage,3,egypt,unknown,arabculture,1
20,daily exchanges,3,egypt,unknown,arabculture,1
21,game,2,egypt,unknown,arabculture,1
22,striking the back,3,egypt,unknown,arabculture,1
23,chase,3,egypt,unknown,arabculture,1
24,funeral rituals,3,egypt,unknown,arabculture,1
25,reception of mourners,3,egypt,unknown,arabculture,1
26,wedding celebrations,1,egypt,unknown,arabculture,1
27,countdown,3,egypt,unknown,arabculture,1
28,household,2,egypt,unknown,arabculture,2
29,home maintenance,3,egypt,unknown,arabculture,1
30,iftar ceremony,3,egypt,unknown,arabculture,1
31,52 motifs,3,bihar,unknown,diwali,1
32,narrative scrolls,3,jharkhand,unknown,diwali,1
33,creating patterns on fabrics,3,jharkhand,unknown,diwali,1
34,ajrakh,3,rajasthan,unknown,diwali,1
35,multiple stages of dyeing and resist printing,3,rajasthan,unknown,diwali,1
36,floral and leaf motifs,3,uttar pradesh,unknown,diwali,1
37,"selecting, cleaning, sun-drying, splitting, and weaving",3,andaman and nicobar islands,unknown,diwali,1
38,expressive storytelling,3,andhra pradesh,unknown,diwali,1
39,feminine movements,3,andhra pradesh,unknown,diwali,1
40,storytelling,4,andhra pradesh,unknown,diwali,2
41,percussive dance,3,andhra pradesh,unknown,diwali,1
42,ball games,3,andhra pradesh,unknown,diwali,1
