node_id,label,level,cultural_group,domain,source_dataset,frequency
0,human,0,universal,identity,schema,1
1,dance,3,algeria,unknown,arabculture,1
2,bags,3,algeria,unknown,arabculture,1
3,mahr,3,algeria,unknown,arabculture,1
4,gold set,3,algeria,unknown,arabculture,1
5,gifts,4,algeria,unknown,arabculture,1
6,brass瓶,1,egypt,unknown,arabculture,1
7,savings罐,1,egypt,unknown,arabculture,1
8,naila,1,egypt,unknown,arabculture,1
9,game,2,egypt,unknown,arabculture,2
10,children,4,egypt,unknown,arabculture,2
11,salamander and snake,1,egypt,unknown,arabculture,1
12,playing,2,egypt,unknown,arabculture,1
13,four men,4,egypt,unknown,arabculture,1
14,nile valley,2,egypt,unknown,arabculture,1
15,burial practices,2,egypt,unknown,arabculture,1
16,venkatagiri cotton,3,andhra pradesh,unknown,diwali,1
17,sarees and salwar suits,3,andhra pradesh,unknown,diwali,1
18,kalamkari,3,andhra pradesh,unknown,diwali,1
19,srikalahasti style,3,andhra pradesh,unknown,diwali,1
20,machilipatnam style,3,andhra pradesh,unknown,diwali,1
21,gale,3,arunachal pradesh,unknown,diwali,1
22,adi women,4,arunachal pradesh,unknown,diwali,1
23,geometric patterns,2,arunachal pradesh,unknown,diwali,3
24,elements of nature and tribal folklore,2,arunachal pradesh,unknown,diwali,1
25,minyong,3,arunachal pradesh,unknown,diwali,1
26,adi community,3,arunachal pradesh,unknown,diwali,1
27,monpa woolen weave,3,arunachal pradesh,unknown,diwali,1
28,tawang district,3,arunachal pradesh,unknown,diwali,1
29,tangsa lungis,3,arunachal pradesh,unknown,diwali,1
30,tangsa bags,3,arunachal pradesh,unknown,diwali,1
31,distinct patterns and colors,2,arunachal pradesh,unknown,diwali,1
32,wancho bag,3,arunachal pradesh,unknown,diwali,1
33,diwali,3,arunachal pradesh,unknown,diwali,18
34,unique designs,2,arunachal pradesh,unknown,diwali,1
35,cultural motifs,2,arunachal pradesh,unknown,diwali,1
36,mekhela chador,3,assam,unknown,diwali,1
37,mekhela,4,assam,unknown,diwali,1
38,chador,3,assam,unknown,diwali,1
39,riha,3,assam,unknown,diwali,1
40,mekhela,3,assam,unknown,diwali,1
41,traditional three-piece attire worn by assamese women,2,assam,unknown,diwali,1
42,miri jimo,3,misng tribe,unknown,diwali,1
43,textile,4,assam,unknown,diwali,1
44,distinctive patterns,2,assam,unknown,diwali,1
45,madhubani painting,3,bihar,unknown,diwali,1
46,intricate designs,4,bihar,unknown,diwali,1
47,alacha fabric,3,bihar,unknown,diwali,1
48,dupatta,4,bihar,unknown,diwali,1
49,veil,3,bihar,unknown,diwali,1
50,chaapa sarees,3,bihar,unknown,diwali,1
51,chaapa,4,bihar,unknown,diwali,1
52,bawan buti weave,3,bihar,unknown,diwali,1
53,motifs,3,bihar,unknown,diwali,4
54,bastar tribal weaves,3,chhattisgarh,unknown,diwali,1
55,motifs,4,chhattisgarh,unknown,diwali,5
56,pata weaving,3,chhattisgarh,unknown,diwali,1
57,dhabla,3,gujarat,unknown,diwali,1
58,geometric designs,4,gujarat,unknown,diwali,1
59,kambal,3,gujarat,unknown,diwali,1
60,dhablas,3,gujarat,unknown,diwali,1
61,bagh,3,haryana,unknown,diwali,3
62,phulkari,3,haryana,unknown,diwali,4
63,chope,3,haryana,unknown,diwali,1
64,khes,3,haryana,unknown,diwali,2
65,durability and warmth,2,haryana,unknown,diwali,1
66,sohrai,3,jharkhand,unknown,diwali,1
67,khovar,3,jharkhand,unknown,diwali,1
68,intricate designs,2,jharkhand,unknown,diwali,3
69,dokra weaving,3,jharkhand,unknown,diwali,1
70,tribal communities,4,jharkhand,unknown,diwali,1
71,intricate patterns on cotton or silk fabrics using natural dyes,2,jharkhand,unknown,diwali,1
72,santhal saree cloth,3,jharkhand,unknown,diwali,1
73,saree,4,jharkhand,unknown,diwali,1
74,traditional patterns and motifs,2,jharkhand,unknown,diwali,1
75,molakalmuru saree,3,karnataka,unknown,diwali,1
76,motifs,2,karnataka,unknown,diwali,1
77,fruits,2,karnataka,unknown,diwali,1
78,animals,2,karnataka,unknown,diwali,1
79,flowers,2,karnataka,unknown,diwali,1
80,chendamangalam saree,3,kerala,unknown,diwali,1
81,puliyilakara (tamarind leaf border),4,kerala,unknown,diwali,1
82,unique stripe patterns,3,kerala,unknown,diwali,1
83,settu mundu,3,kerala,unknown,diwali,1
84,mundum neriyathum,3,kerala,unknown,diwali,1
85,two-piece garment,2,kerala,unknown,diwali,1
86,bagh print,3,madhya pradesh,unknown,diwali,1
87,natural dyes,2,madhya pradesh,unknown,diwali,1
88,vibrant red and black patterns,2,madhya pradesh,unknown,diwali,1
89,cotton fabrics,2,madhya pradesh,unknown,diwali,1
90,silk fabrics,2,madhya pradesh,unknown,diwali,1
91,dabu print,3,madhya pradesh,unknown,diwali,1
92,mud-resist hand-block printing technique,2,madhya pradesh,unknown,diwali,1
93,fabric,2,madhya pradesh,unknown,diwali,1
94,gond painting on fabric,3,madhya pradesh,unknown,diwali,1
95,himroo fabric,3,maharashtra,unknown,diwali,1
96,mashru fabric,3,maharashtra,unknown,diwali,1
97,satin finish,4,maharashtra,unknown,diwali,1
98,bright stripes or patterns,3,maharashtra,unknown,diwali,1
99,moirang phee,3,manipur,unknown,diwali,1
100,moirang pheejin,3,manipur,unknown,diwali,1
101,leirum phee,3,manipur,unknown,diwali,1
102,textile,2,manipur,unknown,diwali,1
103,distinctive red and black patterns on a white base,2,manipur,unknown,diwali,1
104,shaphee lanphee,3,manipur,unknown,diwali,1
105,ryndia,3,meghalaya,unknown,diwali,1
106,shawls,3,india,unknown,diwali,1
107,dakmanda,3,meghalaya,unknown,diwali,1
108,garo women,4,meghalaya,unknown,diwali,1
109,wrap-around skirt,2,meghalaya,unknown,diwali,1
110,symmetrical designs,2,meghalaya,unknown,diwali,1
111,thoh shiliang,3,meghalaya,unknown,diwali,1
112,eri silk,3,meghalaya,unknown,diwali,1
113,chappang,3,meghalaya,unknown,diwali,1
114,eri silk,2,meghalaya,unknown,diwali,1
115,natural dyes and intricate weaving patterns,2,meghalaya,unknown,diwali,1
116,hand-woven fabric,3,meghalaya,unknown,diwali,1
117,dhara,2,meghalaya,unknown,diwali,1
118,puan,4,mizoram,unknown,diwali,1
119,tribal motifs,3,mizoram,unknown,diwali,1
120,puanchei,3,mizoram,unknown,diwali,1
121,puan,3,mizoram,unknown,diwali,1
122,ngotekherh,3,mizoram,unknown,diwali,1
123,angami lohe shawl,3,nagaland,unknown,diwali,1
124,animal motifs,4,nagaland,unknown,diwali,1
125,chakhesang shawl,3,nagaland,unknown,diwali,1
126,chakhesang naga shawl,3,nagaland,unknown,diwali,1
127,ao naga cowrie apron,3,nagaland,unknown,diwali,1
128,cowrie shells,3,nagaland,unknown,diwali,1
129,sambalpuri ikat,3,odisha,unknown,diwali,1
130,shankha,3,odisha,unknown,diwali,1
131,chakra,3,odisha,unknown,diwali,1
132,phula,3,odisha,unknown,diwali,1
133,berhampuri patta,3,odisha,unknown,diwali,1
134,phoda kumbha design,4,india,unknown,diwali,1
135,jamdani,3,punjab,unknown,diwali,2
136,fine muslin textile,4,punjab,unknown,diwali,1
137,intricate patterns,3,punjab,unknown,diwali,2
138,bandhani,3,rajasthan,unknown,diwali,1
139,tie-dye technique,4,rajasthan,unknown,diwali,1
140,mothra,3,rajasthan,unknown,diwali,1
141,leheriya tie-dye technique,4,rajasthan,unknown,diwali,1
142,kodalikaruppur saree,3,tamil nadu,unknown,diwali,1
143,hand painting,4,tamil nadu,unknown,diwali,1
144,block printing,4,tamil nadu,unknown,diwali,1
145,brocade weaving,4,tamil nadu,unknown,diwali,1
146,kora cotton saree,3,tamil nadu,unknown,diwali,1
147,kurainadu saree,3,tamil nadu,unknown,diwali,1
148,geometric and floral designs,4,tamil nadu,unknown,diwali,1
149,pochampally ikat,3,telangana,unknown,diwali,1
150,himroo weaving,3,telangana,unknown,diwali,1
151,rignai,3,tripura,unknown,diwali,2
152,pattern,4,tripura,unknown,diwali,1
153,motif,4,tripura,unknown,diwali,1
154,riikutu,3,tripura,unknown,diwali,1
