source_id,target_id,source_label,target_label,relation_type,weight,source_dataset
0,1,human,food,manifests_in,271,arabculture
1,2,food,algerian,varies_by,72,arabculture
2,3,algerian,breakfast as daily sustenance,manifests_in,1,arabculture
3,4,breakfast as daily sustenance,hearty morning meal,manifests_in,1,arabculture
2,5,algerian,family breakfast tradition,manifests_in,1,arabculture
5,6,family breakfast tradition,mother prepares special breakfast,manifests_in,1,arabculture
7,5,weekend morning gathering,family breakfast tradition,contextualizes,1,arabculture
2,8,algerian,breakfast practice,manifests_in,1,arabculture
8,9,breakfast practice,light simple breakfast,manifests_in,1,arabculture
2,10,algerian,breakfast preparation tradition,manifests_in,1,arabculture
10,11,breakfast preparation tradition,baghrir pancakes,manifests_in,1,arabculture
2,12,algerian,family meal tradition,manifests_in,1,arabculture
12,13,family meal tradition,al-hamis dish,manifests_in,1,arabculture
12,14,family meal tradition,mother prepares meal,contextualizes,1,arabculture
2,15,algerian,friday lunch tradition,manifests_in,1,arabculture
15,16,friday lunch tradition,nutritious special meal,manifests_in,1,arabculture
17,18,family,mother's role in meal preparation,manifests_in,1,arabculture
18,15,mother's role in meal preparation,friday lunch tradition,contextualizes,1,arabculture
0,1,human,food,originates_from,8,arabculture
2,19,algerian,mother ensures balanced nutrition,manifests_in,1,arabculture
19,20,mother ensures balanced nutrition,complete and satisfying meal preparation,manifests_in,1,arabculture
2,21,algerian,lunch tradition,manifests_in,1,arabculture
21,22,lunch tradition,couscous algérien,manifests_in,1,arabculture
2,23,algerian,soup preparation and serving,manifests_in,1,arabculture
23,24,soup preparation and serving,shorba with salted accompaniments,manifests_in,1,arabculture
2,25,algerian,dinner meal customs,manifests_in,1,arabculture
25,26,dinner meal customs,main dish accompaniments,manifests_in,1,arabculture
0,1,human,food,contextualizes,11,arabculture
2,27,algerian,warm dinner in winter,manifests_in,1,arabculture
27,28,warm dinner in winter,mother preparing hot meal,manifests_in,1,arabculture
17,29,family,maternal caretaking role,manifests_in,1,arabculture
29,28,maternal caretaking role,mother preparing hot meal,manifests_in,1,arabculture
0,30,human,religion,manifests_in,76,arabculture
0,17,human,family,manifests_in,120,arabculture
31,32,arab,ramadan observance,manifests_in,1,arabculture
2,33,algerian,family gathering at iftar,manifests_in,2,arabculture
32,33,ramadan observance,family gathering at iftar,influences,1,arabculture
33,34,family gathering at iftar,breaking fast together,manifests_in,1,arabculture
30,31,religion,arab,contextualizes,11,arabculture
31,35,arab,ramadan fasting practice,manifests_in,2,arabculture
35,36,ramadan fasting practice,breaking fast at maghrib call,manifests_in,1,arabculture
35,37,ramadan fasting practice,maghrib prayer timing,manifests_in,1,arabculture
37,36,maghrib prayer timing,breaking fast at maghrib call,influences,1,arabculture
38,36,sequential ritual order,breaking fast at maghrib call,contextualizes,1,arabculture
